Date,Ticker,Lookback_Index,Attention_Weight
2025-03-24,QCOM,19,0.05007874220609665
2025-03-24,QCOM,20,0.05010651797056198
2025-03-24,SBUX,1,0.050374459475278854
2025-03-24,SBUX,2,0.050240278244018555
2025-03-24,SBUX,3,0.05008324608206749
2025-03-24,SBUX,4,0.05010002478957176
2025-03-24,SBUX,5,0.05010189116001129
2025-03-24,SBUX,6,0.05015360563993454
2025-03-24,SBUX,7,0.050048839300870895
2025-03-24,SBUX,8,0.04999883845448494
2025-03-24,SBUX,9,0.04984342306852341
2025-03-24,SBUX,10,0.04994990676641464
2025-03-24,SBUX,11,0.04990766569972038
2025-03-24,SBUX,12,0.04987884312868118
2025-03-24,SBUX,13,0.049816589802503586
2025-03-24,SBUX,14,0.04979845508933067
2025-03-24,SBUX,15,0.04991662874817848
2025-03-24,SBUX,16,0.049978580325841904
2025-03-24,SBUX,17,0.0499594546854496
2025-03-24,SBUX,18,0.04992488771677017
2025-03-24,SBUX,19,0.04994503781199455
2025-03-24,SBUX,20,0.04997927322983742
2025-03-25,AAPL,1,0.05054933577775955
2025-03-25,AAPL,2,0.050261981785297394
2025-03-25,AAPL,3,0.0501372404396534
2025-03-25,AAPL,4,0.05011139437556267
2025-03-25,AAPL,5,0.05014246702194214
2025-03-25,AAPL,6,0.05011671781539917
2025-03-25,AAPL,7,0.05008653178811073
2025-03-25,AAPL,8,0.05009492114186287
2025-03-25,AAPL,9,0.050208210945129395
2025-03-25,AAPL,10,0.050055600702762604
2025-03-25,AAPL,11,0.04987155273556709
2025-03-25,AAPL,12,0.049714911729097366
2025-03-25,AAPL,13,0.04961070790886879
2025-03-25,AAPL,14,0.04972967505455017
